id;short;name;ctry;team;flat;mnt;tt;spr;dsc;Pv;cbt;reg;exp;Rec;end;Res;rol;Pot;typ;race;ht;wgt;hr;debut;year;mon;day;Home
11456;A. R. Løvik;Løvik Asmund Romstad;44;0;69;67;56;46;56;31;57;54;72;50;30;47;5;6;5;6;180;70;40;2013;1989;5;1;
11768;A.A.Galdoune;GALDOUNE Ahmed Amine;41;0;69;60;36;64;46;39;58;46;58;34;41;41;3;2;8;7;180;70;40;2016;1996;5;31;
474;A.A.Mohamed;MOHAMED Ahmed Alaa;93;0;69;60;49;48;35;32;28;15;66;44;14;38;1;1;4;4;180;70;40;2012;1992;8;1;
2893;A.A.Nikiema;NIKIEMA Abdoul Aziz;104;0;67;60;34;40;39;53;55;55;72;65;22;47;1;1;4;4;180;70;40;2010;1989;11;23;
687;A.A.Stien;STIEN Adrian Aas;44;0;69;60;56;55;39;50;46;18;66;48;16;44;1;1;4;4;180;70;40;2011;1992;10;28;
15;A.Abdvrahimov;ABDVRAHIMOV Azizbek;82;0;70;60;56;36;39;43;49;15;78;63;21;65;1;1;7;4;180;70;40;2007;1986;2;15;
470;A.Abebe Grmay;ABEBE GRMAY Alem;150;0;69;74;50;48;32;56;56;12;70;44;57;45;1;1;4;4;180;70;40;2012;1990;11;15;
45;A.Adrian;ADRIAN Antonio Isaac;8;0;65;60;22;33;39;43;66;18;90;57;17;52;1;0;1;3;180;70;40;2007;1980;5;15;
105;A.Akimenko;AKIMENKO Alexander;163;0;66;60;52;37;39;43;51;23;86;65;21;44;1;1;2;3;180;70;40;2007;1982;3;16;
4936;A.Akshbous;AKSHBOUS Ali;119;0;66;65;43;42;35;52;67;34;68;66;18;74;1;1;4;4;180;70;40;2013;1991;5;4;
129;A.Alarcon;ALARCÓN Antonio ;16;0;70;67;53;33;38;43;65;17;70;72;25;82;1;3;3;3;175;65;40;2007;1990;8;10;Sogamoso – Boyaca
4897;A.Altansukh;ALTANSUKH Altanzul;173;0;65;60;43;47;37;42;45;18;68;38;17;40;1;1;4;4;180;70;40;2013;1991;12;21;
260;A.Amorim;AMORIM OLIVEIRA Antonio Felipe;47;0;71;67;45;57;34;42;50;20;80;72;16;75;1;3;3;3;180;70;38;2007;1985;5;19;S.Joao de Ver
274;A.Anderegg;ANDEREGG Andreas;54;0;67;60;52;36;39;43;50;13;86;60;21;43;1;1;6;4;180;70;40;2007;1982;3;22;
310;A.Angeloni;ANGELONI Adriano;36;0;73;60;64;39;51;62;52;48;84;73;21;69;1;2;6;4;169;63;40;2006;1983;1;31;
340;A.Antuña;ANTUÑA CORO Andrés Avelino;22;0;74;66;62;59;38;48;52;39;78;67;21;73;1;3;7;3;166;60;40;2006;1986;12;11;
5275;A.Anuawar;ANUAWAR Ahmad Haidar;169;0;71;60;36;69;41;43;53;45;78;62;21;4;3;2;8;3;170;66;40;2006;1986;4;25;
